density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2],log_absorbedPAR_umol_m2_s1
High,architecture_A,7,729.1644339173693,0.0501146066175997,2.8628254771385504
High,architecture_A,63,743.5399906136197,0.0500770188954507,2.8713043316148816
High,architecture_A,76,960.556547733901,0.0500642572764281,2.9825229367624293
High,architecture_A,98,691.5346958904172,0.0500810628892087,2.8398139745476323
High,architecture_B,8,729.8258315254875,0.0501293580942432,2.8632192307612163
High,architecture_B,20,731.3364707779001,0.0501074706275194,2.8641172316529495
High,architecture_D,6,759.4130984403799,0.0501167039274417,2.8804780836272172
High,architecture_E,5,1078.7277617150196,0.0500640536570383,3.0329118557091252
High,architecture_E,83,749.6096676848517,0.0500708259405343,2.874835178993795
High,architecture_E,89,704.9582030354507,0.0501216024822236,2.8481633684393772
High,architecture_F,48,722.9321047604789,0.0500721612977023,2.8590975118001136
High,architecture_F,62,1008.9096992128324,0.0501148386411086,3.003852297169955
High,architecture_H,66,901.8177588823166,0.0500944118135859,2.9551187833199144
High,architecture_I,37,856.3916833247629,0.050010455701123,2.9326724410795455
High,architecture_I,81,639.7788492131775,0.050101290452575,2.806029878414796
High,control,87,684.0222751981898,0.0500948811677788,2.8350702447583305
