density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
Low,architecture_A,51,35.74825001536055,1.553254786632921
Low,architecture_A,62,39.48362555937539,1.5964170246494942
Low,architecture_A,76,37.10178274693591,1.569394778039722
Low,architecture_B,66,39.8214212064451,1.6001167557190765
Low,architecture_B,93,47.15531256636773,1.673530627895968
Low,architecture_C,28,29.725429780618573,1.473128142517028
Low,architecture_C,91,29.649019920570595,1.4720103418782584
Low,architecture_D,93,36.891056759188885,1.5669210959454547
Low,architecture_E,90,50.65126656281725,1.704590309604792
Low,control,100,35.43557262781333,1.5494394552177593
Low,control,33,36.07505979485577,1.5572070596145793
Low,control,95,35.07063545789348,1.5449436350961119
