density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2]
High,architectureA,1,886.6260329937676,0.0500838277370863
High,architectureA,2,898.1425813296262,0.0501017540793971
High,architectureA,3,841.5655630726131,0.0500742857079922
High,architectureA,4,864.0562548709179,0.0500663666625938
High,architectureA,5,838.6772740129213,0.050042972926632
High,architectureA,6,855.4878866075659,0.0500917213648208
High,architectureA,7,790.8100990367806,0.0501071015701694
High,architectureA,8,908.6006753145198,0.0500629079508503
High,architectureA,9,837.8639517074181,0.0501101189859716
High,architectureA,10,796.1304416276511,0.0500962270120056
High,architectureA,11,884.8527303933258,0.0500411419761534
High,architectureA,12,832.9754582705995,0.0500899962222625
High,architectureA,13,833.0079995026392,0.0500180917270837
High,architectureA,14,891.8323520816418,0.0501152135715097
High,architectureA,15,738.1222035094146,0.050116859893033
High,architectureA,16,838.6831053243163,0.0500322142796903
High,architectureA,17,867.1043088482727,0.050088420689756
High,architectureA,18,842.027528567327,0.0500659160288907
High,architectureA,19,873.8241092334439,0.0500686957112988
High,architectureA,20,854.2178690992642,0.0500838775548709
High,architectureA,21,790.4994001082241,0.0500212689933661
High,architectureA,22,786.9777241860725,0.0500724863668972
High,architectureA,23,814.6023712467718,0.0500621839903914
High,architectureA,24,928.8433092964258,0.0501114841931115
High,architectureA,25,912.3942017869545,0.050100935903115
High,architectureA,26,840.289322943239,0.0500639714326719
High,architectureA,27,885.5081343669947,0.0500465345826629
High,architectureA,28,836.2427312187633,0.0501208377177583
High,architectureA,29,816.6500915883238,0.0501312695996663
High,architectureA,30,856.4779049697735,0.0501371265734826
High,architectureA,31,839.4086505695153,0.0500883720252415
High,architectureA,32,823.0218273884115,0.0500663165827716
High,architectureA,33,787.6453773704379,0.0500433438524659
High,architectureA,34,853.308078785745,0.0500797468045089
High,architectureA,35,835.5834477839456,0.0500605188273592
High,architectureA,36,789.2497456721171,0.0500506389557845
High,architectureA,37,873.3334007646464,0.0500838411106007
High,architectureA,38,874.2504733299214,0.0500038908460877
High,architectureA,39,746.3177454170079,0.050137295136166
High,architectureA,40,734.5243594637843,0.0500885995000345
High,architectureA,41,856.372266003521,0.0500816226071917
High,architectureA,42,821.1206396074567,0.0500601268092159
High,architectureA,43,865.801178488394,0.0500905083007795
High,architectureA,44,822.938978468563,0.0501070554617852
High,architectureA,45,777.4955869479511,0.0501060483374724
High,architectureA,46,802.5552685586149,0.0501065064040888
High,architectureA,47,893.2295166712557,0.0500652245818445
High,architectureA,48,811.2836829001552,0.0500787226611888
High,architectureA,49,865.4683529769743,0.0501568041412125
